Acari CarnaúbadosDantas Cruzeta CurraisNovos Equador JardimdoSeridó OuroBranco Parelhas SantanadoSeridó SãoJosédoSeridó 
1995 22600 6700 18700 48150 13200 inf 368.75 41900 inf inf 
1996 4.40529 -0.735294 -10.1064 0.310881 -39.0977 -5.28634 -20 -3.33333 10 -6.55738 
1997 0.421941 -1.48148 -8.28402 7.85124 55.5556 12.093 33.3333 12.3153 21.2121 -8.77193 
1998 -18.9076 -21.8045 2.58065 -10.728 -0.793651 -16.5975 -25 -7.01754 -10 1.92308 
1999 8.29016 14.4231 -10.6918 2.6824 -29.6 8.45771 53.3333 -1.17925 -8.33333 33.9623 
2000 -7.17703 -15.9664 -13.3803 -19.8537 36.3636 -21.5596 -21.7391 -5.01193 -9.09091 -33.8028 
2001 1.03093 -7 -8.13008 2.73794 12.5 4.09357 19.4444 -11.0553 10 34.0426 
2002 -7.65306 -7.52688 6.19469 -12.6904 -11.8519 -17.4157 9.30233 -2.54237 -6.06061 -17.4603 
2003 -12.1547 3.48837 -10 -4.50581 -33.6134 0.680272 -32.9787 -9.56522 3.22581 1.92308 
2004 1.25786 4.49438 21.2963 -1.52207 21.519 -0.675676 20.6349 0.961538 25 -1.88679 
2005 5.59006 -4.30108 -13.7405 -5.7187 2.08333 -4.7619 1.31579 10.7937 2.5 21.1538 
2006 -10.5882 2.24719 5.30973 3.44262 1.02041 10 -37.6623 2.29226 2.43902 -17.4603 
2007 5.26316 12.0879 6.72269 0.950872 17.1717 -12.3377 29.1667 -6.44258 -19.0476 -23.0769 
2008 6.25 5.88235 -11.0236 -6.90738 -25.8621 -12.5926 -24.1935 1.49701 0 17.5 
2009 -16.4706 5.55556 -5.30973 4.38449 12.7907 -0.847458 12.766 1.47493 -8.82353 -10.6383 
2010 3.52113 -21.0526 -1.86916 -7.75444 -3.09278 4.2735 37.7358 -4.65116 0 2.38095 
2011 10.8844 6.66667 1.90476 2.8021 -10.6383 -3.27869 -12.3288 -8.84146 9.67742 51.1628 
2012 -8.58896 15.625 -4.6729 -6.64395 -26.1905 -1.69492 -1.5625 16.0535 -14.7059 -24.6154 
2013 -6.04027 0.900901 -3.92157 -0.547445 29.0323 -7.75862 -6.34921 -6.34006 6.89655 0 
2014 5 0 -4.08163 -1.65138 -20 17.757 -8.47458 -0.615385 -12.9032 20.4082 
